iter	Poisson
0	0.4664228492
1	0.3975663026
2	0.3478879658
3	0.3119984959
4	0.2872219978
5	0.2675171362
6	0.2534297524
7	0.2427001081
8	0.2344293635
9	0.2280711362
10	0.2232549394
11	0.2195136043
12	0.2163528352
13	0.2142085559
14	0.212297898
15	0.2106480516
16	0.2094133942
17	0.2084575878
18	0.2076536735
19	0.2070553672
20	0.2065320115
21	0.2061321842
22	0.2057222837
23	0.205202406
24	0.2047869471
25	0.2045479125
26	0.2042463231
27	0.2041377695
28	0.2039648369
29	0.20381816
30	0.2037394525
31	0.2036135511
32	0.2034769605
33	0.2034033204
34	0.2032447064
35	0.2032074845
36	0.20317887
37	0.2031326866
38	0.2030260762
39	0.2029220409
40	0.2028047047
41	0.202718263
42	0.2026362969
43	0.202582564
44	0.2025137553
45	0.2024341645
46	0.2024021622
47	0.2023560002
48	0.2023462798
49	0.2023406486
50	0.2022924477
51	0.2022741133
52	0.2022023115
53	0.2021887547
54	0.202120339
55	0.2020820285
56	0.2019984426
57	0.2019869139
58	0.2019694145
59	0.201917661
60	0.2019096274
61	0.2018511186
62	0.201809823
63	0.2017681891
64	0.2017580829
65	0.2017448256
66	0.2017255431
67	0.2017179008
68	0.2017091187
69	0.2016687754
70	0.2016466268
71	0.2016343169
72	0.2016318177
73	0.2016302958
74	0.2016200076
75	0.2016186678
76	0.2016109255
77	0.2016027699
78	0.2015874338
79	0.2015586172
80	0.2015486321
81	0.2015298756
82	0.2015190795
83	0.2015135482
84	0.2014791886
85	0.2014763384
86	0.2014537757
87	0.201432242
88	0.2014112395
89	0.201340442
90	0.2013170839
91	0.2013048001
92	0.2012949036
93	0.201289342
94	0.2012620826
95	0.2012558222
96	0.2012306844
97	0.2012247933
98	0.2012161283
99	0.2011800863
100	0.2011698953
101	0.2011662362
102	0.201153363
103	0.2011410175
104	0.2011314639
105	0.201127531
106	0.2011185043
107	0.2010744656
108	0.2010584874
109	0.2010527807
110	0.2010215203
111	0.201010634
112	0.2010071286
113	0.2010042355
114	0.200962774
115	0.2009260445
116	0.2009167328
117	0.2009147769
118	0.2009032399
119	0.2009031634
120	0.200897282
121	0.2008904174
122	0.2008727346
123	0.2008642837
124	0.2008505679
125	0.2008400954
126	0.2008383468
127	0.2008124866
128	0.200801937
129	0.2007884915
130	0.2007615782
131	0.2007611311
132	0.2007481847
133	0.200734594
134	0.2006931982
135	0.2006777282
136	0.2006767731
137	0.2006443017
138	0.2006248376
139	0.200618014
140	0.2006063531
141	0.2005919398
142	0.2005810872
143	0.2005750685
144	0.200573161
145	0.2005555025
146	0.2005219946
147	0.2005074738
148	0.2004981928
149	0.2004956996
150	0.2004616062
151	0.2004368248
152	0.2004365662
153	0.2004296283
154	0.200429414
155	0.200411012
156	0.2003863286
157	0.2003649512
158	0.2003502211
159	0.2003455527
160	0.200318264
161	0.2002950668
162	0.200269151
163	0.2002624463
164	0.2002595125
165	0.2002556402
166	0.2002366235
167	0.2002314418
168	0.2002292978
169	0.2002134349
170	0.2001996551
171	0.2001765998
172	0.2001660964
173	0.2001604968
174	0.2001574497
175	0.2001367647
176	0.2001181239
177	0.2001159995
178	0.2001104682
179	0.2000917023
180	0.2000909499
181	0.2000856463
182	0.2000723583
183	0.2000576513
184	0.2000444903
185	0.2000293753
186	0.2000247172
187	0.2000075886
188	0.1999950925
189	0.1999942747
190	0.1999714294
191	0.1999594704
192	0.1999568259
193	0.1999498758
194	0.1999368145
195	0.1999275537
196	0.1999206691
197	0.1999143447
198	0.1999016901
199	0.1998898044
200	0.1998884767
201	0.1998865525
202	0.1998816152
203	0.1998769797
204	0.199851522
205	0.1998411003
206	0.1998407995
207	0.1998262107
208	0.1998135538
209	0.1998045947
210	0.1998032762
211	0.1997929063
212	0.1997857624
213	0.1997748341
214	0.1997739629
215	0.1997732431
216	0.199770547
217	0.1997658613
218	0.1997590873
219	0.1997584444
220	0.1997544331
221	0.1997407099
222	0.1997291878
223	0.1997116216
224	0.1997107888
225	0.1996908281
226	0.199672896
227	0.1996655205
228	0.1996646733
229	0.1996550286
230	0.1996464203
231	0.1996455374
232	0.1996288057
233	0.1996054622
234	0.1995933338
235	0.1995834965
236	0.1995637056
237	0.1995573352
238	0.1995568596
239	0.1995546957
240	0.1995498391
241	0.199548508
242	0.1995420955
243	0.1995381967
244	0.1995208994
245	0.1995191622
246	0.199518041
247	0.1995016209
248	0.1994933288
249	0.1994800438
250	0.1994664225
251	0.1994519546
252	0.1994494146
253	0.1994492389
254	0.1994424349
255	0.1994305625
256	0.1994191096
257	0.1994159379
258	0.1994141408
259	0.1994139523
260	0.1994049204
261	0.1994016862
262	0.1993915713
263	0.1993814121
264	0.1993809503
265	0.1993726989
266	0.1993720908
267	0.1993686158
268	0.1993684639
269	0.1993576118
270	0.1993443926
271	0.1993351503
272	0.199326978
273	0.1993219247
274	0.199319391
275	0.1993182193
276	0.1993178533
277	0.199310171
278	0.1992998386
279	0.1992931417
280	0.1992865979
281	0.1992838112
282	0.1992828849
283	0.1992757958
284	0.1992752174
285	0.1992746486
286	0.1992745491
287	0.199274078
288	0.1992705087
289	0.1992704243
290	0.1992697818
291	0.1992652905
292	0.1992599806
293	0.1992504024
294	0.1992500212
295	0.1992443194
296	0.1992417304
297	0.19923592
298	0.1992345533
299	0.1992337763
300	0.1992307513
301	0.1992221728
302	0.1992213086
303	0.199211556
304	0.1992108527
305	0.1992058785
306	0.1992055374
307	0.1991985248
308	0.1991907179
309	0.1991828184
310	0.1991782978
311	0.1991704706
312	0.1991602241
313	0.1991596118
314	0.1991540814
315	0.1991536481
316	0.1991516811
317	0.1991510255
318	0.199150909
319	0.1991463436
320	0.1991335102
321	0.199133193
322	0.1991326434
323	0.19913125
324	0.1991206887
325	0.1991180936
326	0.1991102681
327	0.1991073655
328	0.1991066615
329	0.1991062013
330	0.1991057926
331	0.1990981305
332	0.1990953346
333	0.1990932719
334	0.1990931723
335	0.1990923134
336	0.1990885861
